                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.9333,                  1.115,                  1.083,                0.72417,                0.70196,                0.74654,                0.27758,                 2.0871,                  1.066,                 1.1536,               0.004258,               0.004258,               0.004258
                     60,                 1.9347,                 1.1059,                 1.0911,                0.72915,                 0.6549,                0.71239,                0.27711,                 2.0777,                 1.0922,                 1.1582,               0.004159,               0.004159,               0.004159
                     61,                 1.9119,                 1.0836,                 1.0869,                0.70601,                0.63097,                0.69999,                0.26653,                 2.1135,                 1.1772,                 1.1524,                0.00406,                0.00406,                0.00406
                     62,                 1.9007,                 1.1005,                 1.0633,                0.74194,                 0.6314,                0.69961,                0.26837,                 2.1057,                 1.0905,                 1.1535,               0.003961,               0.003961,               0.003961
                     63,                 1.9098,                 1.0819,                 1.0705,                0.67142,                0.73722,                0.74462,                0.28946,                 2.1017,                 1.0966,                 1.1395,               0.003862,               0.003862,               0.003862
                     64,                 1.8929,                 1.0584,                 1.0632,                0.70862,                0.72482,                0.74263,                0.30651,                 2.0435,                 1.0348,                 1.1364,               0.003763,               0.003763,               0.003763
                     65,                  1.863,                 1.0502,                 1.0752,                0.70416,                0.63529,                0.69119,                0.27914,                 2.0918,                 1.0965,                 1.1463,               0.003664,               0.003664,               0.003664
                     66,                 1.8449,                 1.0344,                 1.0535,                0.77488,                0.65098,                0.74378,                0.28932,                 2.0764,                 1.0656,                 1.1425,               0.003565,               0.003565,               0.003565
                     67,                 1.8871,                 1.0494,                 1.0663,                0.76897,                 0.6902,                0.74337,                0.28814,                  2.101,                 1.0402,                 1.1483,               0.003466,               0.003466,               0.003466
                     68,                 1.8689,                  1.042,                  1.076,                0.72859,                0.72157,                0.74045,                0.28892,                 2.0864,                  1.034,                 1.1328,               0.003367,               0.003367,               0.003367
                     69,                 1.8686,                 1.0485,                   1.07,                0.71306,                0.72157,                0.72696,                0.27759,                 2.1052,                 1.0544,                 1.1361,               0.003268,               0.003268,               0.003268
                     70,                 1.8357,                 1.0283,                 1.0586,                0.75357,                0.70196,                0.72286,                0.28621,                 2.0618,                 1.0662,                 1.1311,               0.003169,               0.003169,               0.003169
